Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
8J0l5OgMPu0,Little Mix - Sweet Melody (Lyrics),"Oct 23, 2020",219,1,0.0024,0,11,0
NEbQYMESI_g,Disco Fries x Kastra x Britt Lari - Alone At Midnight,"Dec 30, 2022",193,1,0.0536,,10,0
VI2O7FfDomk,kina & Ebmusic - Notice feat. Bow Anderson & Maia Wright,"Feb 11, 2022",147,1,0.0009,0,9,11.11
BctRlEPsQWE,Metrøx - Lost Without You feat. EXON,"Dec 1, 2021",177,1,0.0041,0,10,10
ntXtCufqACg,Lauv & Conan Gray - Fake (Lyric Video),"Oct 13, 2020",163,1,0.0413,0,18,5.56
Z3vmdO8kRMk,Neverlate - Somewhere,"Jan 6, 2022",175,1,0.0096,0,7,14.29
6uBCwH_AYyE,ALESSO - Somebody To Use,"Nov 19, 2021",166,1,0.0048,0,9,11.11
TRfOYNLnWS4,Munn & Hannah Hausman - Midnight Drives (Official Lyrics),"Aug 31, 2020",187,1,0.0067,0,7,0
qBuJyHUITK4,Sarah Barrios - We Don't Have To Die,"Jan 8, 2022",238,1,0.003,0,8,0
YUXBhYoobLg,Josh Wantie & Conor Maynard - Never Let Me Go (Lyrics),"Nov 3, 2020",156,1,0.0433,0,8,0
FnDterGOc5w,Zara Larsson - Need Someone (Lyrics),"Mar 5, 2021",179,1,0.0019,0,11,9.09
gno0JM10lgU,Lyncs - Prom Queen (Lyrics),"May 1, 2021",177,1,0.0059,0,15,6.67
piomUnEF-Ls,Boeuv - Fly Away feat. Tore P.,"Jan 17, 2022",185,1,0.0002,0,27,3.7
7v08jpev0hg,Alex Angelo - Mindset,"Sep 25, 2023",197,1,0.0036,0,9,0
yPk0dbHfwog,NOTD & Boy In Space - Therapy (Lyrics),"Oct 7, 2020",169,1,0.0045,0,3,0
gJm_jHvIo2w,St. Lundi - Learn To Let Go (Lyrics),"Jul 12, 2020",228,1,0.0022,0,12,8.33
3F1mb7s04lM,Astrid S - Obsessed (Lyrics),"Oct 16, 2020",178,1,0,0,16,0
zlMG_cov1rI,BIMINI - Hush (Official Lyrics),"Sep 9, 2020",203,1,0.0563,0,11,0
uKZKF2o-JLM,Don Diablo & JLV - Problems feat. John K (Lyrics),"Mar 6, 2021",182,1,0.0033,0,45,4.44
4JX_oXdx1eY,"LØVE/LOSS, Lund, Eddy Baker & Sarcastic Sounds - Us vs The Wrld","Dec 18, 2021",234,1,0.0096,0,4,25
8Bu35lSwD4A,NVRT - On The Run,"Jun 30, 2023",141,1,0.0022,0,23,8.7
SUU0IZb2SYU,HVME & Velix - Mercy,"Nov 25, 2022",145,1,0.001,0,25,8
T0t2sDybIZg,theajsound & Sophie Gibson - oolala. (Radio Edit),"Nov 25, 2022",162,1,0.0028,0,3,33.33
BPEZkhYiKqQ,Cher Lloyd - One Drink Away (Lyrics),"Oct 4, 2020",149,1,0.004,0,23,4.35
IfQdKCkDi9A,Natalie Carr - Blue Lights (Lyrics),"Dec 1, 2020",184,1,0.0027,0,7,0
BaovemrQKXM,Your Paris - Redbone (Lyrics),"Mar 12, 2021",196,1,0.001,0,3,33.33
aSEccMfu9D8,Gryffin & Two Feet - I Want Love (Lyrics),"Feb 12, 2021",197,1,0.0299,0,9,11.11
ooXVe86oCB4,Alphalove  - Don't Wanna Stop (Lyrics) feat. Conor Maynard,"Jan 2, 2021",158,1,0.015,0,4,0
Vkctb8CKj60,Adam Turley & Obi Ben - Circles,"Dec 24, 2021",156,1,0.0052,0,5,0
a15Kq3iaXY8,Petey Martin - Bringing Me Back feat. Rosie Darling,"Feb 18, 2022",180,1,0,0,0,
F3CuvM4uQKA,NACHT & Kezano - There For You (Lyrics),"May 1, 2025",153,1,0.0005,0,3,0
V6vW4-2J7wc,XYLØ - Sugar Free Rush,"May 6, 2022",253,1,0.0088,0,13,7.69
w1bE2qmrbiU,"SRTW, nourii & CLOSR - Stay by My Side","Nov 4, 2022",112,1,0.0618,0,25,8
5phFGnB6YHU,Brolence - Slow Dance (Lyrics) feat. Nathan Brumley,"May 21, 2020",199,1,0.0022,0,13,7.69
s_qk95hhYy0,Vall - Somebody Like You (Lyrics) ft. Loé,"Jun 24, 2021",170,1,0.047,0,0,
GMvKDf6YAko,Sad Puppy - Close Your Eyes,"Dec 30, 2022",159,1,0.0015,0,12,0
f8PHv4Gkteg,Crybabyamy - Nobody Hears From me Anymore (Official Lyric Video),"Oct 26, 2020",153,1,0.0025,0,3,0
tDHLNR44xCY,Georgia Mos & Pullnway - Will You Follow Me?,"Nov 26, 2021",170,1,0.0077,0,8,0
eSBTGYVcIUs,elsaaa - what u wish for,"Jul 23, 2025",171,1,0.0472,0,12,0
1ZwbGNen_0E,Deep Chills & Polina Grace - Slipping Away,"Mar 18, 2022",167,1,0.003,0,6,16.67
ynCCC50PADI,Janji - Mirror feat. Joseph,"Dec 12, 2021",197,1,0,0,8,0
jOYHsn5mNLw,TOOMANYLEFTHANDS X Heliograph X Palau - Hold On,"Aug 12, 2025",178,1,0.0482,0,44,2.27
Gij4J31aGnk,Elliana - Cold (Lyrics),"Jun 24, 2021",166,1,0.0375,0,10,10
YjIMO-TUmqE,Wiese - Somebody Else,"Aug 25, 2020",149,1,0.012,0,34,0
4T392erDPVs,Frank Walker & MATTN - Break The Same,"Apr 29, 2022",198,1,0.001,0,9,11.11
YlF_1PVp7Hg,Neptune & Matthew Zeitler - I Hate Goodbyes (Lyrics) feat. Hailey Haus,"Jun 27, 2020",198,1,0.014,0,0,
MCH0yIyXBE0,Axel Johansson & Konrad Mil - Free Fall feat. Heleen,"Apr 9, 2022",210,1,0.0009,0,11,9.09
nMp0JkmZ8LA,Roxy Tones - Dancing In The Corner (Lyrics) Feat. Dominic Neill,"Apr 24, 2020",166,1,0.0032,,15,0
7R-GjLjexjE,Deepend & Phil Soda - I Hate Everyone But You feat. LONO,"Jan 18, 2022",129,1,0.0013,0,5,0
vPjq3ID0CGE,Claudia Valentina - Obsessed (Lyrics),"Sep 26, 2020",187,1,0.0079,0,28,3.57
dnee7SR3wH4,PLV Music & Zenit - Ready to Fall feat. Tina Heart,"Apr 29, 2022",206,1,0.0144,,7,14.29
YogC-YdnvGs,Cabuizee & Britt Lari - Creep,"Dec 3, 2021",128,1,0.0073,0,22,4.55
gMRw3XBwbl0,Over Easy & MiNDTRiX - Lovin' It,"Dec 22, 2021",183,1,0.0093,0,1,0
xYf2ey22s6A,Phil Odd - Into The Water (TMPST Remix),"Jul 24, 2025",227,1,0.0062,0,16,0
xRcc35XSMrI,Claudia Valentina - Seven (Lyrics),"Jun 27, 2020",225,1,0.0062,0,28,3.57
dZ79hD9Pbps,Marvin Acosta - Nobody But Me feat. Leela D,"Oct 14, 2022",222,1,0,,7,0
_D8zLcFEphw,Nimus - Espresso (Lyrics),"May 24, 2025",152,1,0.042,0,17,0
1cjSuic1XvA,Neddy - Forever My Love (Lyrics),"Jun 23, 2025",97,1,0.0267,0,3,0
faBw7-5TLYM,Priyanshu Sar - Tu Hi Meri Jaan,"Jul 5, 2025",166,1,0.0003,0,2,0
RlSyQ91TjBs,Sophia Scott - One Of These Days,"Mar 18, 2022",208,1,0.0578,0,9,0
EVWTenHVHWg,yetep & Hoang - Losing You feat. Linney,"Oct 21, 2023",188,1,0.0118,0,1,0
piPWXGsBYpo,"Maciel, Fancy Folks & Pull N Way - Waiting For You (La La La)","May 6, 2022",188,1,0.0177,0,4,50
jge_c-vuDOE,Your Paris - The Weather,"Nov 24, 2021",176,1,0.0022,0,7,14.29
lvqrO7WvTXM,Syence  - don't you wanna know feat. britt lari,"Feb 18, 2022",212,1,0.0315,0,3,0
kFc9YNU5EnY,Alex LeMirage - SOLANA,"Jul 12, 2025",191,1,0.0214,0,17,5.88
zh6zuqsD10Y,Metrøx - Call You Mine (Official Music Video) feat. Alice & NikkeYumnam | 4k,"Aug 28, 2020",172,1,0.001,0,28,3.57
Lbg7zqX_2qY,yaeow - Everything and More (Lyrics),"Aug 14, 2020",120,1,0.0331,0,1,0
cImf5vIUQ58,Sasson X Barka - Bate Forte,"Aug 10, 2025",234,1,0.0004,0,25,4
S4IRo5E6zBA,Kapuzen - Gimme Tha,"Jun 7, 2025",192,1,0.0015,0,9,11.11
jLjeu_MHuL8,Johnny Orlando - Adelaide (Lyrics),"Oct 24, 2020",184,1,0.0066,0,7,0
JBdYf1GMX1w,Carlie Hanson - Fuck Your Labels,"Jan 15, 2022",179,1,0.0023,0,13,7.69
H1zZxhnhbwc,iamsimon - Loveless (Lyrics) ft. Michaela Stridbeck,"May 30, 2020",193,1,0.0009,0,33,0
1W3KkIoxTJM,Nikos D & Nicson - Gold (Lyrics Video) feat. Britt Lari,"Aug 16, 2020",254,1,0.04,0,10,0
Pk5Ocf9IJuY,India Dupriez - Venomous,"Nov 23, 2021",211,1,0.0021,0,5,20
bmGKTiJWxEI,Heliograph is crazy!,"Aug 12, 2025",43,1,0.0003,0,45,0
yPmoYjxqbiI,Aarika - Make a Move,"Dec 14, 2021",198,1,0.0251,0,0,
C5ru2ghv4G8,BLOND:ISH & Stevie Appleton - Never Walk Alone (Alex Wann Remix),"Jul 9, 2025",239,1,0.0661,0,21,0
TXjNi-rNdkM,Emma Remelle - All I Need is... (Lyrics),"Oct 17, 2020",188,1,0,0,6,0
CU_81yFSnS8,Piece Wise & Eloi El - Can't Wait (Lyrics),"Jul 30, 2020",158,0,0,,5,0
9-uqizLBFyc,Exstra - Let Go feat. Britt Lari,"Oct 18, 2022",224,0,0,,4,0
xD7cc7culpQ,Sunday Relaxing Evenings | a super chill music mix 2020 (get lost in some chill vibes🌴),"Sep 13, 2020",1919,0,0,0,4,0
8mhm7Gk4Twg,atlas in motion & Sofia Caterina - none too deep (Lyrics),"Jan 7, 2021",220,0,0,0,32,0
Jhrx-3KSi_0,Bate forte!! New vibes,"Aug 11, 2025",34,0,0,0,18,0
vIQM5_rB9kk,Ched - Won't Help Us Love Again,"Dec 28, 2022",223,0,0,,1,0
93677BiBuTI,MNI - Come Along feat. Sofia Karlberg,"Dec 18, 2021",163,0,0,,7,0
QhAo8_aAF8Y,Sabrina Carpenter - Skin (Lyrics),"Jan 22, 2021",177,0,0,0,6,0
iI-C-wkIuJ0,Paro ​(UNPLG’d) - Female Acoustic Version,"Jul 4, 2025",30,0,0,0,6,0
dMVNQsI8grQ,James Carter - Could Have Been You,"Nov 12, 2021",147,0,0,0,3,0
ShUc2GnGbiM,XYLØ - aliens,"Jan 26, 2022",222,0,0,,3,0
CogKgbnM1Rg,Chaz Mazzota - Bad,"Feb 25, 2022",151,,,,4,0
xNHtTjVD0Zw,Ocean Drive & Sara Phillips - deja vu,"Jan 1, 2022",143,,,,3,0
GqcIeHdmkQQ,theajsound & Aizhaar - raindrops,"Jul 28, 2023",164,,,,1,0
3Q8-vU49qp0,Hogland - Fall For You feat. William Segerdahl,"Nov 1, 2021",179,,,,9,0
TU1S8Nb4oXc,Rvkah - Slow Down (Lyrics),"Jul 27, 2020",233,,,,1,0
KVy7eLAlax4,The Him & Mila Falls - When It Falls On You,"Dec 11, 2021",164,,,,3,0
W6pqRsoxVVA,Chaz Mazzota - rnd. 2,"Feb 9, 2022",172,,,,1,0
6W93jyjbaVI,Winona Oak - The Light,"Oct 23, 2020",175,,,,1,0
T_qOCO4EhVw,Feard & Keyser - Loosing Me (Official Lyrics Video) ft.NVRT,"Jul 2, 2020",184,,,,9,0
Zmn3r6yZElI,Sad Puppy - Be With You,"May 10, 2019",137,,,,2,0
l2mom1nnegw,B Praak & Jaani - Kya Loge Tum (Manee Remix) | Pitched,"Jun 6, 2025",158,,,,2,0
SgGP-5nEs3o,MYRIS & Shivam Bhatia - Be With You (Lyrics Video) ft.theajsound,"May 18, 2020",160,,,,4,0
kxzVQALU2U4,Lost Kings - Mountains (Lyrics) feat. MASN,"Nov 6, 2020",130,,,,1,0
cLfiUbHz0eM,Wild Cards - Honest (Lyrics) feat.Lucas Marx,"May 7, 2020",167,,,,6,16.67
p8Md_G5gCQs,Friendzone - Glow In The Dark feat. Nevve,"Oct 29, 2022",250,,,,5,0
6TmmqSUElBQ,Derek Austin & Ashley Cooke - The Bullet,"Jan 12, 2022",205,,,,8,0
TD7bq9cysmU,Whoopa - Stay,"Nov 25, 2021",156,,,,3,0
Yk7YU0hiWvY,"Sonny Wern, Jordan Jay & Idetto - Let U Go","Jan 4, 2022",158,,,,1,0
d9g6nOr7QZ8,CAROLINE - We Should Break-Up (Lyrics),"Jun 7, 2020",211,,,,1,0
TtKFxvoU26Q,Skytech & DJ Angelo - Wild Love (feat. Aleesia),"Nov 6, 2021",173,,,,2,0
unFbzADMNlg,Sophia Messa - Made (Lyrics) feat. Pink Sweat$,"Oct 16, 2020",149,,,,2,0
I6n02QgNg3Q,U can't drown bro!!,"Aug 5, 2025",27,,,,3,0
l-EudQgqjik,The Him & Steerner - Ocean of Love,"Sep 29, 2023",157,,,,2,0
LKLd06zpvF8,Josie Dunne - UGLY,"Dec 31, 2021",119,,,,2,0
grkq8afEXEM,Blinded Hearts & Lucifer - Never Leave,"Dec 28, 2021",134,,,,7,0
-1MectQ1DTg,Conor Matthews - Loves me Lonely (Lyrics),"Dec 6, 2020",173,,,,31,0
MuadGVq_53A,"Topic, Robin Schulz, Nico Santos & Paul Van Dyk - In Your Arms (For An Angel)","Jan 28, 2022",151,,,,5,0
qI_-wxs2PZY,Hessian & LAR & Keepa - One Last Touch,"Jul 27, 2025",205,,,,9,0
ucgMdiigEBM,Mike Posner - Home,"Apr 10, 2022",194,,,,4,0
oM_zLn9e-f0,Howen & Daniela Nicole - There for You,"Dec 8, 2021",175,,,,12,0
L9Uap-v-E2w,R3HAB & Nina Nesbitt - Family Values (Lyrics),"Sep 24, 2020",153,,,,5,0
4Sk5fNci7mA,Emma Kern - Love Myself (Lyrics),"Jul 21, 2020",178,,,,22,0
qcEHXSzhKTw,"Bebe Rexha - Baby, I'm jealous (Lyrics) feat. Doja Cat","Oct 9, 2020",177,,,,5,0
6GomNbf3rpg,Skylar Grey - Vampire At The Swimming Pool,"Nov 19, 2021",216,,,,10,0
nAeC-wWfMqo,NEIKED & Mae Muller - Better Days (Acoustic),"Nov 21, 2021",171,,,,5,0
4tjv9_HvjQU,MOTi & BODYWORX - Pump It,"Jan 8, 2022",155,,,,7,0
w0pyVqI5z2E,Lost Kings - Broken In All The Right Places feat. MOD SUN,"Dec 10, 2021",167,,,,5,0
5bOn7uhSh9Y,BIMINI - Homebound // Lyrics [FV Release],"Aug 6, 2020",144,,,,6,0
0cdTPn3mvFc,Ve Kamleya #Indianvibes #Arijitsingh,"Jun 25, 2025",8,,,,10,0
2nNXUMaxXU4,Shawn Mendes - Wonder (Lyrics),"Oct 2, 2020",195,,,,1,0
rVPMKmZ9yQ0,Riley Roth - Go Find Less,"Jan 13, 2022",161,,,,6,0
Wua_8noiFqg,Mauve - Into The Sun,"Jan 7, 2022",145,,,,1,0
1GOnOsvySIA,Robin Schulz - Young Right Now feat. Dennis Lloyd,"Nov 12, 2021",187,,,,34,0
zt_jM3vLNLk,Metrøx - Call You Mine (Lyrics) feat. Alice & NikkeYumnam [Acoustic],"May 4, 2021",178,,,,6,0
b2a5xd-IJqs,SOO GOOD :)🤩🎵,"Jun 30, 2025",34,,,,12,0
6KlvV4ZeREs,Nicky Romero & GATTÜSO x Jared Lee - Afterglow,"Jan 14, 2022",222,,,,5,0
GNrCnjD1qnI,Rasmus Hagen - Waterfall (Lyrics),"Jun 19, 2020",210,,,,3,0
NKvUGVIBtYI,Daniel Schulz - East Coast feat. MIMI,"Feb 2, 2022",167,,,,3,0
NErSvhmUUDA,Kodaline - Everyone Changes (Lyrics) feat. Gabrielle Aplin,"Oct 3, 2020",204,,,,4,0
kgI4SbgkBE4,DubVision & The Him - Sometimes,"Feb 11, 2022",198,,,,4,0
L4rfvDJaf-w,VAVO - Highs & Lows,"Dec 6, 2021",173,,,,7,0
utm7TbNkOA4,Ched - We Were Young,"Jan 10, 2022",196,,,,3,0
QbUIV3ntwSk,Deacon - One Option,"Nov 18, 2022",157,,,,4,0
APeonEjmeHg,SRTW & nourii - 7th Heaven feat. DuneBoy,"Jan 14, 2022",116,,,,3,0
mQHqqBkTLrk,David Guetta x Jack Back x Fancy Inc x Roland Clark - Alive,"Nov 12, 2021",222,,,,2,0
qEmsl1GKuPA,"HYIDRO - Heaven feat. Da Illest, iamKotaro & Elise","Aug 21, 2022",212,,,,7,0
BJBSBgmvILE,Do It Again,"Aug 12, 2025",23,,,,2,0
vTpPAkYmVxo,Ella Vos - Mountain,"Dec 29, 2022",208,,,,7,0
7llZz8ssY30,Marvin Acosta - Until I Saw U feat. Jaime Deraz,"Dec 23, 2021",182,,,,10,0
fwBG9sYlsh8,Violet Skies - Lonely (Lyrics) feat. Molly Hammar,"Nov 24, 2020",218,,,,22,0
rrCuEHMg7zQ,Kiismin & Sara Phillips - everything i wanted,"Dec 24, 2021",210,,,,1,0
qi3Y-OeqJkQ,NOTD & Nightly - about you,"Mar 11, 2022",169,,,,3,0
2GxR_BWfWOQ,Addict. & Rewind - nomore,"Jan 2, 2022",140,,,,1,0
bob0rclODcQ,Zedd - Inside Out (Lyrics) feat. Griff,"Oct 22, 2020",187,,,,11,0
N7gCCsY3USw,Demi Lovato - Still Have Me (Lyrics),"Oct 2, 2020",212,,,,9,0
xzPC9p3huGU,Selina Mour - Wait For It,"Sep 23, 2022",158,,,,3,0
LlUR6cIxWcY,Finding Hope - Strangers (Lyrics),"Jul 31, 2020",229,,,,8,0
br5YqqNPk0U,Mirage - Before The Night,"Jul 7, 2025",198,,,,9,0
gfCISp0cnCE,Sleepwalkers - See Me Cry (Lyrics) feat. Merseh,"Sep 28, 2020",228,,,,1,0
PO150uQvl4E,Anna Clendening - I'm Sorry Mom and Dad,"Jul 28, 2023",191,,,,19,0
pb04XEKhX4o,Mokita  - I’ll Be Home For Christmas,"Nov 13, 2021",166,,,,2,0
RsrW_10njD0,JRL & Benjamin Storset - Moving On,"Aug 26, 2022",139,,,,1,0
OPikUpNyCB4,Zayn - Better (Lyrics),"Sep 25, 2020",175,,,,8,0
ksTc3zwor-g,SEIDS - Let's Finish,"Feb 22, 2022",175,,,,2,0
d9pNoZJCioE,Little Venice - Sky For My Heart (Lyrics) feat.Lisa Rowe,"Jun 15, 2020",150,,,,7,0
nsshx1d8Hr8,Karan Aujla x Ikky - At Peace,"Jul 11, 2025",166,,,,7,0
ZMu5DC1HEJQ,Melanie Martinez - The Bakery (Lyrics),"Sep 29, 2020",160,,,,2,0
WsCA5M7xe9M,RUNN - If The Devil Is You,"Aug 26, 2022",200,,,,1,0
xHX1QSLICpc,Powfu & Sleep.Ing - The Fire in your Eyes Keeps me Warm (Lyrics),"Nov 21, 2020",195,,,,5,0
g8LQ6GH9KNQ,Ella Mai - DFMU,"Jan 28, 2022",198,,,,40,0
EBWJpI0KY7I,HUGEL X Dawty - Loosen Up feat. Preston Harris,"Jun 28, 2025",185,,,,4,0
XOwd4oG43u0,Zoe Wees - Ghost (Lyrics),"Apr 23, 2021",175,,,,3,0
I3Y87U6dONc,Winona Oak - Piano in the Sky (Lyrics),"Oct 2, 2020",191,,,,4,0
tQ5f1DZwNUE,Blackbear & Wiz Khalifa - Cheers (Lyrics),"Jan 12, 2021",202,,,,7,0
 -ezrh9IrRxk,"Coopex,Donovan's Playground, Lujavo & Britt Lari - Stereo Love","Dec 31, 2021",188,,,,9,0
o6XpaKPJrOg,Lost Kings - Oops [I'm Sorry] (Lyrics) feat. Ty Dolla $ign & GASHI,"Oct 2, 2020",209,,,,14,0
ovA8vtYLU08,Adam Turley - Ruined the Night,"Mar 18, 2022",146,,,,3,0
Vz7T_APB4pg,Da Illest - Don't Let Me Go,"Mar 10, 2022",170,,,,3,0
ktYTY1aR66U,"Quarterhead, Cheat Codes, KIDDO - Lucky","Nov 13, 2021",209,,,,20,0
l2PfSRszfn4,Clara Mae - Missing You Sucks,"Nov 22, 2021",179,,,,1,0
TfopAp66aJI,"JORDY, emma løv, & LOOTE - Friends","Apr 19, 2022",172,,,,8,0
TiYDf_BKtNU,George Alice - Haunted,"Feb 18, 2022",214,,,,2,0
EnNvOLmc-nU,"INTRN, Beowulf - Lose A Friend (Lyrics)","Jun 20, 2020",214,,,,4,0
Jg3p4YICBPM,Frank Walker & MOTi - I Wonder feat. Shai,"Dec 10, 2021",161,,,,8,0
iWCi6oGGMg8,MOLIY X Shenseea X Skillibeng X Silent Addy - Shake It To The Max (Fly) (Remix),"Jun 29, 2025",179,,,,17,0
F7pCMzgFwek,Trenox - Capsized,"Dec 15, 2021",174,,,,5,0
EiLLBdHhpc8,Lauren Aquilina - Swap Places (Lyrics),"Oct 3, 2020",202,,,,36,0
sfS83mCz0hg,GT_Ofice & Britt Lari - Try This Again,"Nov 19, 2021",149,,,,1,0
YPNjObRdvBs,Times - Run Away (Fresh Vibes Original),"Sep 17, 2020",174,,,,1,0
CaJM99_3usc,Massappeals - Drowning in Beauty,"Jul 30, 2025",244,,,,10,0
lVUWdqWX_MM,Nina Nesbitt - When You Lose Someone,"Feb 11, 2022",201,,,,4,0
n8InNHw5Ho4,Zach Oliver - Feel Like Forever,"Dec 27, 2021",161,,,,5,0
LlMYIBe4fks,Ray Le Fanue - Open My Heart feat. Britt Lari,"Nov 3, 2021",172,,,,5,0
hExBVlBEJXA,Cadmium & Dylan Rouda - Have Fun Alone,"Jan 14, 2022",179,,,,2,0
vIJkG9bvnV8,QAHR & Shilpa Golwalkar - One Sided Love (Lyrics),"Feb 8, 2021",169,,,,3,0
14j3DMU9Kro,"R3HAB, Astrid S & HRVY - Am I the Only One (Lyrics)","Oct 30, 2020",153,,,,1,0
sGacUv78mdk,Brett Bones - Laces (Official Lyrics),"Sep 1, 2020",181,,,,2,0
NLrODk_sai4,Clean Bandit - Higher (Lyrics) feat. iann diar,"Jan 29, 2021",205,,,,12,0
7dWgTe48X84,Jeremy Zucker & Chelsea Cutler - This is How You Fall in Love (Lyrics),"Jan 21, 2021",175,,,,3,0
0lRA6MfTwKg,Anna Clendening - Love Song (Lyrics),"Oct 12, 2020",162,,,,26,0
1wUAVZGJfkg,Xylø - Life or Death (Lyrics),"Dec 15, 2020",237,,,,5,0
hetXkUFrU5Q,"Martin Jensen, Cheat Codes & Theresa Rex - Running","Jan 14, 2022",186,,,,6,0
THpnOa6fFUA,Harry Hudson - Closing Doors (Lyrics) feat. Astrid S,"Sep 25, 2020",153,,,,1,0
JCN8vnHHQ5o,Marvin Acosta - Take U Home,"Apr 7, 2023",159,,,,2,0
cvllRiPkE1I,Kygo - Gone Are The Days (Lyrics) ft. James Gillespie,"Apr 16, 2021",197,,,,5,0
R2dlI3JJKKo,Alex Angelo - Four Letter Words,"Jan 8, 2022",192,,,,4,0
Ak0LjDrqP5U,Bloome - Mixtape (On Repeat) [Lyrics],"May 27, 2020",185,,,,9,0
E0fR0cmhbWk,@Fantomelmusic  x ‪KateLinn - DAME UN GRR,"Jul 10, 2025",135,,,,10,0
TV9KV7bkccM,"benny blanco, Marshmello, Vance Joy - You (Lyrics)","Jan 29, 2021",170,,,,7,14.29
4QCjBO_8r6o,Alexa Valentino - Bleed,"Jan 5, 2022",177,,,,13,0
lHDj9bMbEoY,Sam Feldt & Kesha - Stronger (Lyrics),"Jan 29, 2021",174,,,,4,0
O81smWb_rSE,Sophie Simmons - Love Turns Lonely,"Nov 20, 2021",168,,,,4,0
979Uo8eg76Y,Mesto feat. Aloe Blacc - Better Days,"Sep 20, 2022",157,,,,4,0
YvnEcrH0Ql0,Foothills - I Can't Help Myself,"Sep 15, 2023",196,,,,1,0
utIHEm-Zkhw,Daya - First Time (Lyrics),"Oct 9, 2020",152,,,,5,0
_wwi7E4q3yQ,Demi Lovato - Commander in Chief (Lyrics),"Oct 16, 2020",196,,,,4,0
V-unp1VLoYM,"Silk City, Diplo & Mark Ronson - New Love (Lyrics) feat. Ellie Goulding","Jan 22, 2021",191,,,,24,0
lbnhdMzELqY,Emily James - I'm Not In Love,"Sep 25, 2023",188,,,,1,0
1jBBqkhBC50,Bass Sky - Call U Mine feat. RamikZ & Alan Shepard (Fresh Vibes Original),"Sep 19, 2020",197,,,,8,0
b1EwO49pZZg,NIKI DEMAR - When My High Wears Off,"Apr 22, 2022",197,,,,5,0
VD-u0oY6NXM,"Jasleen Royal - Heeriye feat. Arijit Singh, Dulquer Salmaan & Aditya Sharma","Jul 28, 2023",194,,,,1,0
UJMsofdE7VU,Annika Wells - Stay High,"May 6, 2022",208,,,,8,0
XFQtDqICQYA,Axel Johansson - Strange Utopia feat. Marmy,"Nov 26, 2021",204,,,,6,0
GV-BNhYFrOc,Crazy vibe! Wait for it...,"Aug 12, 2025",40,,,,5,0
mrzvgiAg8pw,Kaskade - Eyes V3 feat. Ella Vos,"Jan 25, 2022",272,,,,26,0
4KwBsUIlFQo,liquidfive - Maliboo,"Jan 24, 2022",142,,,,4,0
sqSvlK5YIws,Afrojack x Martin Garrix x David Guetta & Amél - Our Time feat. Zack Hall,"Jul 11, 2025",162,,,,26,0
CPYZsJt5H14,Jacala & Alev - You Saved Me feat. Eloi El,"Aug 26, 2022",130,,,,7,0
AXr5Fs1-Ta0,Finding Hope - to my future love,"Sep 29, 2023",180,,,,3,0
5XC8-uE78J8,Majeska - 3 A.M. (Lyrics),"Jul 25, 2020",229,,,,3,0
o4XoY0onmL8,"Altero, Madugo & Teva - Gazing At The Stars","Jan 14, 2022",175,,,,7,0
QtFcEL_cofE,Pull n Way & Eloi El - The Way You Love Me (Lyrics),"Sep 12, 2020",206,,,,2,0
8R9UvnSPPHU,"Arc North, Rival & Cadmium - Coming Home (Lyrics)","Nov 24, 2021",164,,,,6,0
BIf9TBJZI0g,Moonsound & Round Light - Easy On Me,"Dec 21, 2021",197,,,,2,0
kZWC62rGDis,Cheat Codes & Tinashe - Lean On Me (Lyrics),"May 7, 2021",150,,,,4,0
Gz5CVN7FkyE,Tess Posner - Take Me There (Lyrics),"Sep 30, 2020",148,,,,2,0
Y1s0ItWlNQ4,HVME - Mask Off,"Aug 11, 2022",152,,,,8,0
5GfIEYJ8Q0A,One Republic - Wild Life (Lyrics),"Sep 24, 2020",262,,,,8,0
R7MAQjGcVqw,Sasha Sloan - Matter To You (Lyrics),"Oct 16, 2020",218,,,,5,0
BQ-tfSAH3Fc,Metrøx & Nikke Yumnam - Why You (Lyrics),"Feb 28, 2021",228,,,,1,0
PWC4-8F8Q8M,Földes & Elazion - Good With The Bad,"Nov 30, 2021",165,,,,1,0
Rgr-KN-gs3k,❤️स्वरब्रम्ह❤️ Pathak  @swarbramhapunetrustVadak   @anjali sangole Video  @frames by yashh   #sw,"Aug 18, 2025",32,,,,11,0
iO7FScS9Yn4,HUTS & Marmy - Night We Met,"Jan 20, 2022",146,,,,4,0
TwuHzU4luPc,Katile - Say Sorry (Official Lyrics),"Sep 20, 2020",180,,,,10,0
EF3-TpyD0hc,Shallou - Here,"Nov 15, 2021",193,,,,9,0
Thy81lCXCjE,Dava - Papercut (Lyrics),"Oct 5, 2020",162,,,,3,0
sdejvfAM0Nc,Trivecta & Nurko - You Can Be My Light (Lyrics) feat. Monika Santucci,"Aug 5, 2020",277,,,,3,0
CaPCBxbhwME,"Little Venice, Plastic Jungle, ODBLU - Coffee, Smoke and Love (Lyrics)","Jul 1, 2020",165,,,,9,0
sVwfNb3SvwI,Kristina Nichol - Space,"Nov 29, 2021",242,,,,1,0
XbF-ObR-a-Y,Tom Walker - For Those Who Can't Be Here,"Dec 11, 2021",186,,,,6,0
AzAKxzSNS4E,Foothills & Tom Bailey - Oceans (Lyrics),"Apr 16, 2020",201,,,,7,0
